train_slot,env_slot,system_reward_sum,mean_agent_reward,arrived,done_tasks,slot_satisfied,completion_rate_episode,avg_dod,system_lifetime_loss,comp_energy_j,trans_energy_j,dynamic_energy_j
116,115,11.732548585437385,0.4693019434174954,18,12,12,0.7420760697305864,0.39223236913244336,0.004989778941434692,586.8931572929839,0.5355192994807542,587.4286765924646
117,116,71.26800977981941,2.8507203911927763,19,18,18,0.743609909555643,0.3924355181104297,0.005300710992351942,463.3269779605197,0.5426322584397695,463.86961021895945
118,117,114.28009742020622,4.571203896808249,19,20,20,0.7459016393442623,0.39256524952298,0.004267759644008705,583.4700922161499,0.4285178137425835,583.8986100298924
119,118,89.1799822113967,3.567199288455868,23,13,13,0.744294003868472,0.39259472703434206,0.001909463189189843,454.3680287944418,0.5983686753656341,454.9663974698074
120,119,124.3379894592791,4.973519578371164,22,22,22,0.746451860375911,0.3927759087940336,0.004349171648976461,504.7346777797622,0.5238218144448668,505.2584995942071
121,120,77.85813193673636,3.114325277469454,18,15,15,0.7470476190476191,0.39287481979982736,0.0033457244254522073,376.44356721003703,0.5553461010270512,376.9989133110641
122,121,63.53122477954652,2.541248991181861,20,11,11,0.7455576559546314,0.3928929058056675,0.0023547111654028596,628.9523259604788,0.5310724757248564,629.4833984362036
123,122,82.18179111124172,3.287271644449669,26,14,14,0.7435417446649195,0.39299773404052474,0.0032984800790900855,522.739172749445,0.554228099564107,523.293400849009
124,123,111.02030597791219,4.440812239116488,31,20,20,0.7424130273871207,0.3931365100963115,0.003935352329750329,382.91608552072483,0.6888873621019584,383.6049728828268
125,124,106.09919678931897,4.2439678715727585,21,15,15,0.7421961072346677,0.3931615601007079,0.0024119275538791573,524.3884923831113,0.6700597783559167,525.0585521614672
126,125,149.67303746419748,5.986921498567899,14,23,23,0.7468030690537084,0.39325484588047693,0.003898046167418452,581.6067010485049,0.5170841271383328,582.1237851756432
127,126,105.17428022953979,4.206971209181591,17,16,16,0.7480029048656499,0.3932801285859817,0.002267532459581826,568.5330386896594,0.423228781966555,568.956267471626
128,127,112.80506648162958,4.512202659265183,18,21,21,0.7507215007215007,0.3935335580414728,0.005385688583791818,473.1819278688075,0.5157630101347399,473.69769087894224
129,128,105.58812516523561,4.2235250066094245,19,17,17,0.7517018989609459,0.3935920195237165,0.0032878005229868197,576.1678574081106,0.4155712836106815,576.5834286917213
130,129,138.14597518995137,5.525839007598055,21,21,21,0.7535561877667141,0.39371353150757715,0.0036355546720358268,312.5419376061502,0.46326640714197226,313.0052040132922
131,130,118.04407611840023,4.721763044736009,10,15,15,0.7562012756909993,0.3936849054000443,0.0015892351828711963,341.69158625822485,0.357324012906074,342.0489102711309
132,131,82.65738221406242,3.306295288562497,16,9,9,0.7551092318534179,0.39359533780303096,0.0005584005623310317,285.79071612994863,0.5005039658640786,286.2912200958127
133,132,177.64065652949228,7.105626261179691,26,18,18,0.7545391061452514,0.39352964847470756,0.0007569598770729272,361.9411458681582,0.6192897239314602,362.5604355920896
134,133,75.2047573700355,3.0081902948014196,12,13,13,0.7559109874826148,0.3935892407895642,0.0026223627183116793,525.3879113700123,0.5172223004264354,525.9051336704387
135,134,89.7374577902765,3.58949831161106,23,14,14,0.7547430148327009,0.39355338287070923,0.0011968547679323425,605.4237160655304,0.45293776188431367,605.8766538274147
136,135,79.40725580341805,3.176290232136722,25,16,16,0.7537619699042407,0.39366834416494745,0.0035600405576704307,426.73375144610674,0.5051222551381576,427.23887370124487
137,136,131.70931282352035,5.268372512940814,26,17,17,0.7528813559322034,0.39360941533440824,0.0009613137195935641,458.0121597088112,0.5966497945102122,458.6088095033214
138,137,79.40146292901733,3.176058517160693,25,17,17,0.7522689075630252,0.39377286684359875,0.004339171808678666,540.1954345170024,0.6484054273617099,540.843839944364
139,138,95.48764042141241,3.8195056168564965,25,14,14,0.7506666666666667,0.3937151343204661,0.0009099062892392973,511.0625623639951,0.711638049389913,511.774200413385
140,139,132.7528961767845,5.31011584707138,22,15,15,0.7501654533421576,0.39364369252293174,0.0007983813983434227,756.4252507114094,0.5735803796160173,756.9988310910254
141,140,95.89308725638271,3.8357234902553086,18,17,17,0.7513157894736842,0.3937523262296719,0.0025328288057847063,522.4269027843465,0.5693224133201852,522.9962251976666
142,141,156.36143020601563,6.254457208240625,24,23,23,0.7529373368146214,0.3939078640139696,0.003810431005528545,648.1174718285852,0.5375682070668828,648.6550400356521
143,142,50.89889968462568,2.0359559873850275,17,12,12,0.7526777020447907,0.39391514319446286,0.002042423664244091,447.9393212888522,0.5259029831257743,448.465224271978
144,143,127.96487926852028,5.118595170740811,19,17,17,0.7535483870967742,0.39393376710868827,0.002187708894802338,429.429171434394,0.5154992030762784,429.94467063747027
145,144,122.82304846796376,4.912921938718551,21,16,16,0.7536046139057995,0.39396507134263914,0.0023797472194340484,566.7188384567199,0.44277784422370414,567.1616163009436
146,145,106.19848515380428,4.247939406152171,21,19,19,0.7546148949713558,0.39413429397763766,0.004624326307748948,493.45986858973,0.4742434871637938,493.93411207689377
147,146,92.49398853261496,3.6997595413045987,29,16,16,0.7527593818984547,0.3942645182333942,0.0036558674372975763,570.3743864670122,0.616095437393702,570.9904819044059
148,147,107.10368742386957,4.284147496954783,19,19,19,0.7542319749216301,0.39436835630560835,0.004076715432106666,394.63527845554785,0.6527223959073264,395.2880008514552
149,148,119.79937296343266,4.791974918537306,30,14,14,0.7515527950310559,0.39430727137065813,0.0009491998455806766,574.7881802173418,0.7351177666591346,575.523297984001
150,149,66.89334278558009,2.6757337114232036,21,14,14,0.7510027769207035,0.3943554368225901,0.0030573695447404974,655.3287499380287,0.609909088413544,655.9386590264423
151,150,131.582652155714,5.263306086228559,19,23,23,0.753680981595092,0.3944697043096733,0.004247851688370548,646.0673250608332,0.5195858562309214,646.5869109170642
152,151,73.63200375015141,2.9452801500060564,24,18,18,0.7536540803897686,0.39470359255236653,0.004450906229653017,627.164104341548,0.5406241092880643,627.704728450836
153,152,108.54809994344978,4.341923997737991,21,19,19,0.7546142208774584,0.39478786247502506,0.0037493796628388894,390.31541665920804,0.5312245173750005,390.84664117658303
154,153,143.25574885053229,5.730229954021292,21,20,20,0.7558628983764282,0.3948486255100583,0.0030640963749110546,477.60228367997075,0.629172755313714,478.2314564352845
